product_id,title,SKU,price,created_at,stock_quantity
7237763170378,Jaqueta Puffer One Nude,PUF-126-G,699.90,10/08/2023,0
7237763170378,Jaqueta Puffer One Nude,PUF-126-M,699.90,10/08/2023,2
7237763170378,Jaqueta Puffer One Nude,PUF-126-P,699.90,10/08/2023,0
7237763334218,Jaqueta Puffer One Preto,PUF-127-G,699.90,10/08/2023,1
7237763334218,Jaqueta Puffer One Preto,PUF-127-M,699.90,10/08/2023,2
7237763334218,Jaqueta Puffer One Preto,PUF-127-P,699.90,10/08/2023,1
6756615651402,Legging Apex Seamless Ash,LEG112,203.92,18/01/2022,0
6756615651402,Legging Apex Seamless Ash,LEG111,203.92,18/01/2022,0
6756615651402,Legging Apex Seamless Ash,LEG110,203.92,18/01/2022,1
6756615618634,Legging Apex Seamless Sky,LEG108,203.92,18/01/2022,0
6756615618634,Legging Apex Seamless Sky,LEG107,203.92,18/01/2022,2
6756615618634,Legging Apex Seamless Sky,LEG106,203.92,18/01/2022,3
6687222628426,Legging Harmony Seamless Blue,LEG240,237.92,28/07/2022,6
6687222628426,Legging Harmony Seamless Blue,LEG-HAR-BLU-M,237.92,18/10/2021,5
6687222628426,Legging Harmony Seamless Blue,LEG-HAR-BLU-P,237.92,18/10/2021,14
6687222595658,Legging Harmony Seamless Pink,LEG239,237.92,28/07/2022,2
6687222595658,Legging Harmony Seamless Pink,LEG-HAR-PIN-M,237.92,18/10/2021,1
6687222595658,Legging Harmony Seamless Pink,LEG-HAR-PIN-P,237.92,18/10/2021,2
7796736950346,Legging Jockey Seamless Brown,LEG-568-G,359.00,25/09/2024,0
7796736950346,Legging Jockey Seamless Brown,LEG-568-M,359.00,25/09/2024,0
7796736950346,Legging Jockey Seamless Brown,LEG-568-P,359.00,25/09/2024,0
7796735934538,Legging Jockey Seamless Dark Brown,LEG-565-G,359.00,25/09/2024,0
7796735934538,Legging Jockey Seamless Dark Brown,LEG-565-M,359.00,25/09/2024,0
7796735934538,Legging Jockey Seamless Dark Brown,LEG-565-P,359.00,25/09/2024,0
7447759945802,Legging Jockey Seamless Jungle,LEG-385-G,359.00,16/01/2024,8
7447759945802,Legging Jockey Seamless Jungle,LEG-385-M,359.00,16/01/2024,7
7447759945802,Legging Jockey Seamless Jungle,LEG-385-P,359.00,16/01/2024,5
7396012818506,Legging Jockey Seamless Phantom Blue,LEG-153-G,359.00,09/11/2023,1
7396012818506,Legging Jockey Seamless Phantom Blue,LEG-153-M,359.00,09/11/2023,2
7396012818506,Legging Jockey Seamless Phantom Blue,LEG-153-P,359.00,09/11/2023,7
7045733744714,Legging Jockey Seamless Preto,leg-bol-pre-g,359.00,06/12/2022,10
6687221153866,,LEG-BOL-PRE-GG,,25/09/2024,0
7045733744714,Legging Jockey Seamless Preto,leg-bol-pre-m,359.00,06/12/2022,12
7045733744714,Legging Jockey Seamless Preto,leg-bol-pre-p,359.00,06/12/2022,11
7495528742986,Legging Moon Dust Seamless Dark Matter,LEG-419-G,359.00,07/03/2024,2
7495528742986,Legging Moon Dust Seamless Dark Matter,LEG-419-M,359.00,07/03/2024,0
7495528742986,Legging Moon Dust Seamless Dark Matter,LEG-419-P,359.00,07/03/2024,0
7495528808522,Legging Moon Dust Seamless Esmerald,LEG-420-G,359.00,07/03/2024,2
7495528808522,Legging Moon Dust Seamless Esmerald,LEG-420-M,359.00,07/03/2024,3
7495528808522,Legging Moon Dust Seamless Esmerald,LEG-420-P,359.00,07/03/2024,1
7495528874058,Legging Moon Dust Seamless Nickel,LEG-421-G,359.00,07/03/2024,2
7495528874058,Legging Moon Dust Seamless Nickel,LEG-421-M,359.00,07/03/2024,0
7495528874058,Legging Moon Dust Seamless Nickel,LEG-421-P,359.00,07/03/2024,0
7796720435274,Legging Outsider Seamless Alaska blue,LEG-517-G,349.00,25/09/2024,0
7796720435274,Legging Outsider Seamless Alaska blue,LEG-517-M,349.00,25/09/2024,0
7796720435274,Legging Outsider Seamless Alaska blue,LEG-517-P,349.00,25/09/2024,0
6967004921930,Legging Outsider Seamless Azul de Lyons,LEG280,296.65,08/09/2022,2
6967004921930,Legging Outsider Seamless Azul de Lyons,LEG279,296.65,08/09/2022,0
6967004921930,Legging Outsider Seamless Azul de Lyons,LEG278,296.65,08/09/2022,0
6945991655498,Legging Outsider Seamless Azul Marinho,LEG264,349.00,17/08/2022,4
6945991655498,Legging Outsider Seamless Azul Marinho,LEG263,349.00,17/08/2022,1
6945991655498,Legging Outsider Seamless Azul Marinho,LEG262,349.00,17/08/2022,2
7459360145482,Legging Outsider Seamless Brown,LEG-388-G,349.00,24/01/2024,5
7459360145482,Legging Outsider Seamless Brown,LEG-388-M,349.00,24/01/2024,0
7459360145482,Legging Outsider Seamless Brown,LEG-388-P,349.00,24/01/2024,1
6687221153866,,25405327001782,,25/09/2024,0
7770144047178,Legging Outsider Seamless Cayena,LEG-491-G,349.00,09/08/2024,0
7770144047178,Legging Outsider Seamless Cayena,LEG-491-M,349.00,09/08/2024,0
7770144047178,Legging Outsider Seamless Cayena,LEG-491-P,349.00,09/08/2024,-1
