order_number,date,price,quantity,product_id,SKU
6298,16/08/2024,329.00,1,6687221907530,LEG-PUR-PRE-P
6299,16/08/2024,269.00,2,6856167948362,TOP139
6299,16/08/2024,179.90,1,6687221612618,TOP-TRA-CCL-M
6299,16/08/2024,329.00,1,7378794774602,LEG-149-M
6299,16/08/2024,329.00,1,7495529103434,LEG-422-M
6299,16/08/2024,329.00,1,7497519300682,LEG-440-M
6299,16/08/2024,269.00,1,7497520152650,TOP-442-G
6299,16/08/2024,269.00,1,6687221841994,TOP-PUR-PRE-M
6299,16/08/2024,329.00,1,6687221907530,LEG-PUR-PRE-M
6299,16/08/2024,269.00,1,7495530086474,TOP-428-M
6300,16/08/2024,269.00,1,7497517465674,TOP-438-M
6300,16/08/2024,269.00,1,7378796511306,TOP-151-M
6300,16/08/2024,329.00,1,7497515958346,LEG-435-M
6301,16/08/2024,329.00,1,7396016586826,LEG-158-M
6301,16/08/2024,269.00,1,7396018257994,TOP-168-M
6301,16/08/2024,329.00,1,7396016685130,LEG-160-M
6301,16/08/2024,269.00,1,7396018683978,TOP-166-M
6302,16/08/2024,329.00,1,7459360145482,LEG-388-P
6302,16/08/2024,269.00,1,7459360538698,TOP-391-G
6302,16/08/2024,269.00,1,7459398156362,SHO-399-P
6303,16/08/2024,269.00,1,7505103585354,SHO-446-G
6303,16/08/2024,269.00,1,6946027143242,TOP244
6304,16/08/2024,369.00,1,7338889445450,LEG-146-P
6304,16/08/2024,289.00,1,7338889707594,TOP-147-P
6304,16/08/2024,59.90,1,7237760057418,MEI-122-U
6305,16/08/2024,269.00,1,6946027143242,TOP242
6305,16/08/2024,329.00,1,6946026782794,LEG246
6305,16/08/2024,229.00,1,7515027963978,BAB-451-M
6306,16/08/2024,269.00,1,7001211797578,top-sig-azu-m
6306,16/08/2024,329.00,1,7055529803850,leg-sig-azu-m
6306,16/08/2024,329.00,2,7055529377866,leg-sig-pre-m
6306,16/08/2024,269.00,1,7001212387402,top-sig-pre-p
6306,16/08/2024,269.00,1,6967005118538,TOP274
6306,16/08/2024,329.00,1,6967004921930,LEG279
6307,16/08/2024,329.00,1,7396014325834,LEG-159-G
6307,16/08/2024,269.00,1,7396015505482,TOP-167-M
6308,16/08/2024,259.00,1,7588861444170,POL-458-M
6308,16/08/2024,289.00,1,7588858822730,COP-454-M
6309,17/08/2024,329.00,1,6856165457994,LEG167
6309,17/08/2024,329.00,1,6856165294154,LEG159
6309,17/08/2024,269.00,1,6856169390154,TOP155
6309,17/08/2024,239.00,1,6710308831306,CRO-ESS-PRE-P
6309,17/08/2024,699.90,1,7237763170378,PUF-126-P
6309,17/08/2024,349.95,1,7588866621514,MOL-463-M
6309,17/08/2024,349.95,1,7588869406794,MOL-467-M
6310,17/08/2024,179.90,1,6687223218250,TOP-HAR-BLU-M
6310,17/08/2024,279.90,1,6687222628426,LEG-HAR-BLU-M
6311,17/08/2024,269.00,1,7396018389066,TOP-165-G
6311,17/08/2024,329.00,1,7396016390218,LEG-157-G
6312,17/08/2024,329.00,1,6687221907530,LEG-PUR-PRE-M
6313,17/08/2024,269.00,1,7001212387402,top-sig-pre-p
6313,17/08/2024,269.00,1,7001211666506,sho-sig-pre-m
6314,17/08/2024,329.00,1,6687221907530,LEG-PUR-PRE-G
6315,17/08/2024,49.90,1,7237764284490,HEA-132-P
6315,17/08/2024,49.90,1,7254954901578,HEA-139-U
6316,17/08/2024,269.00,1,6710315647050,TOP-PUR-JUN-M
6316,17/08/2024,239.00,1,6710308765770,CRO-ESS-BRA-G
6316,17/08/2024,49.90,1,7254954901578,HEA-139-U
6316,17/08/2024,269.00,1,7505104175178,SHO-450-P
6317,17/08/2024,329.00,1,6687221907530,LEG-PUR-PRE-M
6317,17/08/2024,269.00,1,7001212387402,top-sig-pre-p
6317,17/08/2024,239.00,1,7420470034506,SOH-379-P
6317,17/08/2024,329.00,1,7396014522442,LEG-154-M
6317,17/08/2024,269.00,1,7396015636554,TOP-156-P
6318,17/08/2024,329.00,1,7067199897674,leg-pur-val-p
6318,17/08/2024,269.00,1,7067201044554,top-pur-val-m
6318,17/08/2024,329.00,1,7055134130250,leg-pur-ale-p
6318,17/08/2024,269.00,1,7055138717770,top-pur-ale-m
6318,17/08/2024,329.00,1,7055136030794,leg-pur-oce-p
6318,17/08/2024,269.00,1,7055137275978,top-pur-oce-m
6318,17/08/2024,329.00,1,6687221907530,LEG-PUR-PRE-P
6318,17/08/2024,269.00,1,6687221841994,TOP-PUR-PRE-M
6319,18/08/2024,219.00,1,7492977492042,TAN-416-P
6327,18/08/2024,269.00,1,6687221841994,TOP-PUR-PRE-P
6327,18/08/2024,329.00,1,6687221907530,LEG-PUR-PRE-P
6328,18/08/2024,269.00,1,7396018389066,TOP-165-P
6328,18/08/2024,329.00,1,7396016390218,LEG-157-G
6329,18/08/2024,289.00,1,7331632840778,TOP-144-P
6329,18/08/2024,289.00,1,7338890494026,SHO-148-M
6330,18/08/2024,329.00,1,7459360309322,LEG-389-G
6330,18/08/2024,269.00,1,7459360440394,TOP-390-G
6331,19/08/2024,269.00,1,7459398156362,SHO-399-M
6332,19/08/2024,349.95,1,7588867735626,MOL-466-M
6332,19/08/2024,349.95,1,7588865704010,MOL-462-G
6333,19/08/2024,349.95,1,7588871700554,MOL-474-M
6333,19/08/2024,299.90,1,7237763694666,CRO-129-P
6334,19/08/2024,329.00,1,7254943072330,LEG-135-P
6334,19/08/2024,269.00,1,7254944710730,TOP-138-P
6335,19/08/2024,269.00,1,6967005118538,TOP276
6335,19/08/2024,329.00,1,6687221907530,LEG-PUR-PRE-G
6336,19/08/2024,279.90,1,6687222628426,LEG-HAR-BLU-M
6336,19/08/2024,179.90,1,6687223218250,TOP-HAR-BLU-P
6336,19/08/2024,589.00,1,7722647748682,JAC-480-M
6337,20/08/2024,269.00,1,7459397992522,SHO-398-M
6337,20/08/2024,289.00,1,7338890494026,SHO-148-M
6338,20/08/2024,329.00,1,6856164671562,LEG142
6339,20/08/2024,269.00,1,6910076321866,TOP197
6339,20/08/2024,269.00,1,7208089387082,SHO-OUT-OFF-P
6339,20/08/2024,269.00,1,7495530610762,SHO-432-P
6339,20/08/2024,269.00,1,7495529922634,TOP-427-P
6339,20/08/2024,49.90,2,7414746873930,GHO-172-P
6339,20/08/2024,49.90,1,7414746611786,GHO-171-P
6339,20/08/2024,49.90,1,7414746906698,GHO-173-P
6339,20/08/2024,219.00,1,7420467281994,TAN-372-M
6339,20/08/2024,219.00,2,7420467019850,TAN-371-M
6339,20/08/2024,269.00,1,7459397992522,SHO-398-P
6339,20/08/2024,269.00,1,7459360440394,TOP-390-P
6340,20/08/2024,269.00,1,7001211600970,sho-sig-mac-p
6340,20/08/2024,269.00,1,7001212223562,top-sig-mac-p
6340,20/08/2024,269.00,1,7001212387402,top-sig-pre-p
6340,20/08/2024,329.00,1,7055529377866,leg-sig-pre-p
6340,20/08/2024,269.00,1,7208086536266,TOP-SIG-OFF-P
6340,20/08/2024,329.00,1,6910076190794,LEG201
6341,21/08/2024,49.90,2,7414746873930,GHO-172-M
6341,21/08/2024,49.90,2,7414746611786,GHO-171-M
6341,21/08/2024,269.00,1,7254944448586,TOP-136-G
6341,21/08/2024,329.00,1,7254942744650,LEG-133-M
6341,21/08/2024,239.00,1,7420470034506,SOH-379-P
6341,21/08/2024,239.00,1,7237653594186,CRO-121-G
6341,21/08/2024,269.00,1,6856167948362,TOP140
6341,21/08/2024,329.00,1,6856164671562,LEG143
6341,21/08/2024,269.00,1,6978390491210,TOP207
6341,21/08/2024,329.00,1,6978390458442,LEG210
6341,21/08/2024,269.00,1,7001212387402,top-sig-pre-m
6341,21/08/2024,329.00,1,7055529377866,leg-sig-pre-m
6342,21/08/2024,179.90,1,6687223218250,TOP-HAR-BLU-P
6342,21/08/2024,269.00,1,7396015636554,TOP-156-P
6343,21/08/2024,329.00,1,6892867682378,LEG185
6343,21/08/2024,269.00,1,6892867813450,TOP189
6343,21/08/2024,329.00,1,7396016685130,LEG-160-M
6343,21/08/2024,269.00,1,7396018683978,TOP-166-M
6344,22/08/2024,269.00,1,7497516679242,SHO-437-M
6344,22/08/2024,219.00,1,7484588621898,T-S-407-P
6344,22/08/2024,289.00,1,7459363848266,SHO-394-M
6344,22/08/2024,59.90,1,7223658512458,mei-clara-bran
6345,22/08/2024,269.00,1,7497520971850,SHO-445-P
6346,22/08/2024,269.00,1,7459360440394,TOP-390-M
6347,22/08/2024,239.00,1,6710308765770,CRO-ESS-BRA-M
6347,22/08/2024,49.90,1,7414746873930,GHO-172-P
6348,22/08/2024,269.00,1,7459360440394,TOP-390-G
6348,22/08/2024,329.00,1,7459360309322,LEG-389-M
6349,22/08/2024,269.00,1,7459360440394,TOP-390-P
6349,22/08/2024,329.00,1,7459360309322,LEG-389-P
6350,22/08/2024,179.90,1,6687223218250,TOP-HAR-BLU-P
6351,22/08/2024,349.95,1,7588867735626,MOL-466-G
